"id","country","leader","period","region","path_type","cluster","priority","status","econ_conditions","social","institutional","political","external","unique_aspects","historical_match_1","historical_match_2","historical_match_3","vdem_coverage","data_notes"
"KOR_TRANS","South Korea (transition)","Chun → Roh → Kim Young-sam","1980–1993","Asia-Pacific","Transition","development_driven_transition","High","Completed — development model","Chaebol-led export miracle creating educated middle class; GDP growth 9%+ annually through 1980s; worker organising challenging chaebol dominance; 1988 Olympics as international legitimacy moment","Gwangju massacre 1980 as founding trauma of democracy movement; student movement maintaining pressure throughout 1980s; Minjung movement combining labour and democracy activism; middle class joining student demands by 1987","Military as explicit political actor; Chun Doo-hwan regime attempting permanent institutionalisation; June 1987 declaration — military blinked under mass pressure; Roh Tae-woo transition figure with military credentials","Kim Dae-jung and Kim Young-sam opposition split repeatedly aiding regime; 1987 June Democracy Movement — mass protests forcing direct elections; first peaceful transfer to opposition party 1997; chaebol-political nexus creating ongoing corruption vulnerability","US pressure for political liberalisation increasing post-Cold War; Olympics hosting creating international visibility; North Korea threat paradoxically both enabling and limiting military role","Economic development creating its own political transition pressure — middle class created by the authoritarian developmental state became the constituency that ended it. Gwangju massacre unlike anything in European transitions — state violence at this scale as democracy movement origin point.","Taiwan KMT (72%)","Indonesia Reformasi (65%)","Philippines People Power (58%)","Excellent","V-Dem 1948–2024; Korea Democracy Foundation; KSDC; Gwangju Uprising documentation"
"POL_SOLIDARITY","Poland (Solidarity)","Jaruzelski → Wałęsa → Mazowiecki","1980–1991","Europe","Transition","civil_society_transition","High","Completed — roundtable export model","Soviet-style economy failing — legitimacy crisis; debt to Western banks creating opening for Western leverage; shock therapy 1990 — radical but effective economic transition; unemployment spike from transition creating short-term social pain","Catholic Church as institutional backbone of civil society; Solidarity as cross-class coalition — workers + intellectuals unusual; martial law 1981 — crushing but not eliminating the movement; underground civil society (samizdat, flying universities) during martial law","Roundtable negotiations — regime negotiating its own managed exit; partially free elections June 1989 — Solidarity won everything it contested; Mazowiecki government accepting communist-era officers in security positions; lustration debate — accountability vs stability tension","Jaruzelski bargaining from weakness not strength in 1989; Gorbachev's signal that Soviet tanks wouldn't come this time; Solidarity umbrella fragmenting post-victory into competing parties; Wałęsa's difficult transition from union leader to president","Soviet Gorbachev factor — unique permissive external environment; Western economic support conditional on democratic progress; Pope John Paul II as symbolic anchor for Polish national identity","Only case where a labour movement became the primary vehicle for democratic transition. Church-intelligentsia-worker coalition is unreplicable elsewhere. Roundtable model became an export — Hungary, Czechoslovakia followed within months. Underground infrastructure maintained during martial law proved decisive.","Czechoslovakia Velvet (65%)","South Africa CODESA (60%)","Armenia Velvet Revolution (58%)","Excellent","V-Dem 1918–2024; IPN (Institute of National Remembrance); Solidarity archives Gdańsk; roundtable documentation"
"IND_EMERGENCY","India (Emergency)","Indira Gandhi → Janata","1975–1977","Asia-Pacific","Resilience","electoral_self_correction","High","Completed — electoral reversal","Drought and oil shock creating economic pressure 1973–74; Indira Gandhi's populist garibi hatao — poverty elimination failing; railway workers strike 1974 — JP movement beginning; economic stress providing justification for emergency declaration","Allahabad High Court voiding Indira's election — legal trigger; JP Narayan movement crossing class and party lines; forced sterilisation programme alienating rural voters catastrophically; free press suspended but foreign press and BBC still accessible","Emergency powers in constitution used for first time; preventive detention of opposition leaders including JP Narayan; Supreme Court capitulated initially; Election Commission retained nominal independence","Indira declared emergency June 25 1975 citing external threats; Janata coalition assembling from disparate opposition; 1977 election called by Indira — unexpected loss; Janata government failing to consolidate — Indira returned 1980","Cold War context — US indifferent, Soviet support for Indira; Non-Aligned Movement providing international legitimacy cover; Bangladesh war victory 1971 had made Indira appear invincible","Only case of democratic resilience via electoral self-correction — the person who imposed the emergency also called the election that ended it. Janata coalition's failure after victory shows fragility of negative coalitions. India's federal structure and free press (even suppressed) proved more resilient than expected.","Bolivia Morales reversal (60%)","Bangladesh 2024 (55%)","Poland PiS reversal (58%)","Excellent","V-Dem 1947–2024; Election Commission of India; CSDS-Lokniti; Shah Commission report"
"FRA_4TH","France (4th Republic)","Various PM → de Gaulle","1946–1958","Europe","Transition","self_reform_under_threat","High","Completed — self-reform","Postwar reconstruction via Marshall Plan; rapid modernisation (Trente Glorieuses beginning); colonial wars (Indochina, Algeria) consuming military budget; inflation and balance of payments as chronic instability","Communist party largest in France — Cold War complication; decolonisation pressure — settlers in Algeria as political veto player; Fourth Republic produced 21 governments in 12 years; de Gaulle waiting in Colombey-les-Deux-Églises as permanent alternative","Proportional representation producing ungovernable assemblies; president ceremonial — no executive authority; prime ministers falling on average every 6 months; constitutional reform blocked by parties benefiting from instability","Algerian crisis 1958 as forcing mechanism — army generals threatening coup; de Gaulle called in as only figure all sides could accept; Fifth Republic constitution drafted around de Gaulle's preferences; referendum legitimising new constitution with 80% approval","Algerian war creating military insubordination; NATO and Western integration requiring stable partner; Suez crisis 1956 humiliating France internationally","Self-reform under threat rather than external imposition or collapse. Fourth Republic voted itself out of existence. Successor system (Fifth Republic) designed around one man — a constitutionally institutionalised elected monarchy that has outlasted de Gaulle by 60 years.","France 5th Republic current (55%)","Italy First Republic collapse (50%)","Israel constitutional crisis (45%)","Excellent","V-Dem 1789–2024; Archives Nationales France; de Gaulle Foundation; IFOP historical surveys"
"JPN_LDP","Japan (LDP)","LDP various","1955–2000","Asia-Pacific","Stable","long_run_dominant_party","High","Completed — 38yr dominance","Post-war miracle: 10% growth 1955–1973; iron triangle: LDP-bureaucracy-business symbiosis; 1990 bubble collapse ending economic legitimacy; keiretsu cross-shareholding creating stability but inefficiency","1955 System: conservative dominance accepted by exhausted society; zainichi Korean minority as second class; salaryman culture — corporate loyalty over political engagement; gradual ageing creating structural fiscal pressure","MITI bureaucracy as real government behind LDP facade; faction system within LDP providing internal pluralism; Article 9 pacifism constraining military ambitions; Supreme Court extremely deferential to government","JSP as permanent opposition never expected to govern; 1993 LDP split ending 38-year dominance — but LDP returned 1994; political money scandals recurring but not destabilising; consensus decision-making (nemawashi) slowing reform","US security umbrella removing defence burden; Cold War giving Japan clear strategic alignment; trade friction with US creating internal political pressure","One-party democracy without alternation for 38 years via internal faction rotation as substitute for inter-party competition. LDP is itself a coalition — policy competition happens within the party. No other democracy has managed this length of single-party dominance without becoming authoritarian.","Mexico PRI (65%)","Malaysia UMNO (60%)","Singapore PAP (55%)","Excellent","V-Dem 1900–2024; National Diet Library Japan; Jiji Press historical archive"
"BRA_REDEMOC","Brazil (re-democratisation)","Sarney → Collor → Itamar → Cardoso","1985–1994","Latin America","Transition","economic_stabilisation_transition","High","Completed — hyperinflation to stability","Military regime leaving hyperinflation as parting gift; Plano Cruzado, Bresser, Verão — three failed stabilisation plans; Plano Real 1994 — finally working, legitimising democracy; debt crisis limiting government capacity during transition","Diretas Já movement — 1 million in streets demanding direct elections; landless movement and unions as left pressure on transition; evangelical church emerging as political force; Amazon frontier conflicts creating governance challenge","Abertura — gradual military opening not sudden transition; Tancredo Neves dying before inauguration — Sarney accident; 1988 Constitution — most rights-generous in world, fiscally unworkable; Collor impeachment 1992 — institutions working as designed","Military retaining amnesty and control of transition terms; party fragmentation — 30+ parties in Congress by 1990s; Fernando Collor — first direct election president, impeached for corruption; Lula losing three times before 1994 context ready for him","IMF conditionality shaping economic policy space; Washington Consensus as external economic pressure; drug trafficking beginning to create parallel governance in favelas","Collor impeachment 1992 — first successful presidential impeachment in Latin American democratic history, and it worked. Demonstrated Brazilian institutions had genuine self-correcting capacity. Hyperinflation-to-stability transition most extreme in library: annual inflation 2,000%+ before Plano Real.","Argentina re-democratisation (62%)","Peru economic transition (55%)","Indonesia Reformasi (50%)","Excellent","V-Dem 1900–2024; TSE Brazil; IBGE; Plano Real documentation; Collor impeachment congressional records"
"CZE_1968","Czechoslovakia 1968","Dubček → Husák","1968","Europe","Collapse","external_suppression","High","Completed — 20yr freeze","Communist economy stagnating — reformers proposing market elements; Prague Spring economic liberalisation alongside political opening; Ota Šik market socialist model threatening Soviet economic model; consumer goods shortages fuelling reform demand","Intellectual ferment — Literární noviny as reform voice; Slovak national aspirations complicating federation question; youth movement energised — generation without Stalin-era fear; writers union as civil society substitute","Dubček reforming from within Communist Party — not against it; Action Programme April 1968 — party-led liberalisation; censorship abolished but party structure maintained; Warsaw Pact treaty providing legal pretext for intervention","Reform from within Communist Party — no Western-style opposition; Dubček personally trusted by reformers and initially by Moscow; 20 days negotiation after invasion — Dubček capitulating under duress; normalisation 1969–1989 — 20 years of frozen society","Brezhnev Doctrine — socialist gains irreversible; Warsaw Pact invasion August 21 1968 — 500,000 troops; Western non-response — outside Soviet sphere of influence; 1956 Hungary precedent — world knew intervention was possible","Pure external suppression — reform movement not defeated internally, militarily crushed. Socialism with a human face had broad popular support. Unlike Hungary 1956 there was no armed resistance — passive non-cooperation instead. 20-year normalisation that followed is the most complete freezing of a society in the library.","Hungary 1956 (65%)","Belarus 2020 (55%)","Myanmar 2021 coup (50%)","Good","V-Dem 1918–2024; ÚSD (Institute for Contemporary History Prague); Charter 77 documentation; Warsaw Pact invasion records"
"GRC_JUNTA","Greece (Junta)","Papadopoulos → Ioannidis → Karamanlis","1967–1974","Europe","Collapse","foreign_policy_disaster_end","High","Completed — fastest democratic recovery","Economy growing rapidly under junta — legitimacy through growth; tourism boom funding regime; Cyprus crisis creating economic disruption 1974; post-junta stabilisation requiring Marshall Plan equivalent","Conservative rural society vs modernising urban Athens; student protests 1973 — polytechnic uprising brutally crushed; diaspora Greek opposition internationally visible; Church ambiguous — neither clearly supporting nor opposing junta","King Constantine failed counter-coup December 1967 — legitimacy problem; constitution suspended parliament dissolved; military governing directly — no civilian facade maintained; torture documented by Council of Europe — early international rights monitoring","Coup justified as preventing communist electoral victory; Papadopoulos liberalisation attempt 1973 — regime fracturing; Ioannidis hardliner coup against Papadopoulos; Cyprus disaster 1974 — Makarios coup triggering Turkish invasion collapsing regime","US ambivalent — Cold War positioning over democratic norms; NATO membership maintained despite democratic backsliding; Cyprus crisis as external shock ending regime; Karamanlis return from Paris exile — transition managed by external figure","Only case ended primarily by foreign policy disaster rather than internal pressure or external military force. Cyprus adventure was the regime's own choice — miscalculation producing the external shock destroying it. Clean transition to Karamanlis and subsequent EU membership makes it the fastest successful democratic recovery in the library.","Argentina Dirty War / Falklands (68%)","Portugal Carnation (62%)","Turkey post-1980 coup (50%)","Excellent","V-Dem 1900–2024; Historical Archive of the Greek Parliament; Council of Europe torture documentation; Cyprus crisis records"
"YUG_DISSOLUTION","Yugoslavia","Milošević / Tuđman / Izetbegović","1989–1999","Europe","Collapse","ethnic_dissolution","High","Completed — state dissolution","1980s debt crisis and IMF austerity destroying federal economic bargain; hyperinflation 1989: 2,600% — economic legitimacy collapse; republic-level economic divergence: Slovenia 4x Serbia per capita; privatisation creating nationalist-connected oligarchs","1974 constitution creating republic-level identities over Yugoslav; memory politics: WWII Ustaše-Chetnik crimes reactivated by elites; Kosovo 1989 — Milošević's speech at Gazimestan beginning ethnic mobilisation; refugee flows from wars creating further radicalisation","Collective presidency without Tito unable to resolve disputes; JNA (army) transforming from Yugoslav to Serbian instrument; republic-level institutions gaining legitimacy as federal lost it; international recognition of Slovenia and Croatia premature — accelerating war","Milošević instrumentalising Kosovo grievance for Serbian nationalism; Tuđman HDZ reviving Ustaše symbols — deliberate provocation; Izetbegović caught between Serb and Croat nationalist projects; Dayton 1995 freezing rather than resolving ethnic geography","German premature recognition of Slovenia/Croatia; UN arms embargo disadvantaging Bosnian government; NATO intervention 1999 in Kosovo — late but decisive; EU offering no membership anchor during critical transition years","Only case of complete state dissolution via ethnic war in library. Unlike other cases there was no single regime to fall — multiple regimes fell simultaneously. International community failures as important as domestic variables. Dayton architecture created frozen conflicts rather than resolution.","Ethiopia ethnic federalism (55%)","Sudan civil war (48%)","Lebanon state failure (45%)","Good","V-Dem 1918–2024; ICTY documentation; ICMP (missing persons); Dayton Agreement text; UNHCR displacement data"
"VEN_CHAVEZ","Venezuela (origin)","Chávez","1998–2013","Latin America","Consolidation","resource_funded_populism","High","Completed — led to full collapse","Oil price collapse 1998 destroying Punto Fijo system legitimacy; Caracazo 1989 — IMF austerity riots killing 300 traumatising political class; Chávez using oil windfall for Misiones social programmes; PDVSA purge after 2002 strike — oil company as political instrument","Extreme inequality — Gini among highest in Latin America; Chávez as Bolívarian racial-class identity symbol for poor; middle class and business community as permanent opposition; barrios as political mobilisation base bypassing traditional structures","1999 Constitution — Chávez rewrote rules via referendum; Supreme Court packed with chavistas after 2004; Electoral council (CNE) gradually losing independence; National Assembly bypassed by enabling laws giving decree power","Coup attempt 2002 — Chávez survived radicalising trajectory; oil strike 2002–03 — Chávez won purging PDVSA; 2004 recall referendum — Chávez won demoralising opposition; chavismo as movement not party — personalismo maximum","Cuba providing intelligence and security apparatus training; US coup support 2002 — backing anti-Chávez plotters; ALBA regional integration as counter to US influence; Colombia conflict spillover creating security justification","Oil revenue as democracy-dissolving mechanism — the resource curse operating in real time. Misiones model of bypassing existing institutions with parallel social programmes is unique. 2002 coup attempt and its defeat was the turning point — Chávez drew the lesson that only complete institutional control would secure his position.","Nicaragua Ortega (68%)","Bolivia Morales (62%)","Ecuador Correa (58%)","Good","V-Dem 1900–2024; Carter Center 2004 recall data; PROVEA human rights; CNE official data"
"HUN_ORBAN","Hungary (Orbán)","Orbán Viktor","2010–2026","Europe","Consolidation","gradual_legal_consolidation","High","Live — consolidated","2008 IMF bailout legitimacy crisis inherited; EU structural funds captured as patronage (~6bn EUR/yr); NER oligarch network receiving state contracts; strategic sectors renationalised: energy, banking, media","Anti-immigration 2015 as mobilising identity politics; Soros conspiracy as domestic scapegoat; brain drain — educated youth emigrating; LGBTQ+ restrictions as culture war wedge; Trianon trauma as founding mobilising myth","2/3 supermajority enabling constitutional rewrite without referendum; Constitutional Court packed and jurisdiction stripped; electoral law redrawn — gerrymandering + reduced districts; Media Council controlling broadcast licensing","Fidesz changing rules between each election cycle; opposition coordination failure across multiple cycles; 2022 united opposition still lost — system too tilted; EU Article 7 proceedings blocked by unanimity rule","EU membership as unique constraint floor; Brussels used as external scapegoat — mirrors Mussolini/Versailles; no bilateral military pressure","EU paradox: membership simultaneously constrains and enables. Illiberal democracy framing — openly redefining democracy rather than pretending to uphold it. Social media enabling direct leader-to-voter communication bypassing captured traditional media. Fastest modern consolidation using legal templates pioneered by Mussolini.","Mussolini Italy 1922–28 (74%)","Mexico PRI (61%)","Argentina Perón (55%)","Excellent","V-Dem 1900–2024; Freedom House; Media ownership registry; EU rule of law reports"
